"","Country","Year","Area","Metier","Gear","Vessel_length","kw_days","Days_at_sea","FU","lvl4"
"772","BEL",2013,"27.7","TBB_DEF_>=120_0_0_all","TBB","24<40",11508,12,"outFU","TBB_DEF"
"773","BEL",2013,"27.7","TBB_DEF_70-99_0_0_all","TBB","10<24",121642,551,"outFU","TBB_DEF"
"774","BEL",2013,"27.7","TBB_DEF_70-99_0_0_all","TBB","24<40",1462198,1442,"outFU","TBB_DEF"
"775","BEL",2013,"27.7.fghj","TBB_DEF_70-99_0_0_all","TBB","24<40",77392,66,"21","TBB_DEF"
"776","BEL",2013,"27.7.g","TBB_DEF_70-99_0_0_all","TBB","24<40",208823,185,"22","TBB_DEF"
"777","BEL",2013,"27.7","GTR_DEF_all_0_0_all","GTR","10<24",1794,3,"outFU","GTR_DEF"
"778","BEL",2013,"27.7.g","OTB_DEF_100-119_0_0_all","OTB","10<24",884,4,"22","OTB_DEF"
"779","BEL",2013,"27.7","OTB_CRU_70-99_0_0_all","OTB","10<24",4877,7,"outFU","OTB_CRU"
"780","BEL",2013,"27.7.fghj","OTB_CRU_70-99_0_0_all","OTB","10<24",887,1,"21","OTB_CRU"
"781","BEL",2013,"27.7.g","OTB_CRU_70-99_0_0_all","OTB","10<24",30370,44,"22","OTB_CRU"
"782","BEL",2013,"27.7","OTB_CRU_70-99_0_0_all","OTB","24<40",21113,26,"outFU","OTB_CRU"
"783","BEL",2013,"27.7.fghj","OTB_CRU_70-99_0_0_all","OTB","24<40",1102,2,"21","OTB_CRU"
"784","BEL",2013,"27.7.g","OTB_CRU_70-99_0_0_all","OTB","24<40",49136,80,"22","OTB_CRU"
"785","BEL",2013,"27.7","SSC_DEF_100-119_0_0_all","SSC","24<40",2787,3,"outFU","SSC_DEF"
"786","BEL",2013,"27.7","SSC_DEF_70-99_0_0_all","SSC","24<40",18694,27,"outFU","SSC_DEF"
"787","BEL",2013,"27.7.g","SSC_DEF_70-99_0_0_all","SSC","24<40",1200,1,"22","SSC_DEF"
"788","BEL",2013,"27.7","TBB_DEF_>=120_0_0_all","TBB","24<40",6713,7,"outFU","TBB_DEF"
"789","BEL",2013,"27.7","TBB_DEF_70-99_0_0_all","TBB","10<24",49605,225,"outFU","TBB_DEF"
"790","BEL",2013,"27.7","TBB_DEF_70-99_0_0_all","TBB","24<40",800963,806,"outFU","TBB_DEF"
"791","BEL",2013,"27.7.agj","TBB_DEF_70-99_0_0_all","TBB","24<40",3240,3,"19","TBB_DEF"
"792","BEL",2013,"27.7.fghj","TBB_DEF_70-99_0_0_all","TBB","24<40",8071,7,"21","TBB_DEF"
"793","BEL",2013,"27.7.g","TBB_DEF_70-99_0_0_all","TBB","24<40",359299,340,"22","TBB_DEF"
"794","BEL",2013,"27.7","GTR_DEF_all_0_0_all","GTR","10<24",9568,16,"outFU","GTR_DEF"
"795","BEL",2013,"27.7","OTB_CRU_70-99_0_0_all","OTB","24<40",40810,49,"outFU","OTB_CRU"
