,year,scenario,fleet,metier,effshare,effort,efmet,gear
1,2017,baseline,BE_Beam_10<24m,OTH,1,224.5021716,224.5021716,OTH
2,2017,baseline,BE_Beam_24<40m,OTH,0.68118469,10179.87639,6934.375938,OTH
3,2017,baseline,BE_Beam_24<40m,TBB_DEF_27.7.g,0.31881531,10179.87639,3245.500447,TBB_DEF_27
4,2017,baseline,BE_Otter_24<40m,OTH,1,632.7195906,632.7195906,OTH
5,2017,baseline,EN_Beam_10<24m,OTH,1,1037.24131,1037.24131,OTH
6,2017,baseline,EN_Beam_24<40m,OTH,1,3287.53843,3287.53843,OTH
7,2017,baseline,EN_Other_all,OTH,1,3157.390324,3157.390324,OTH
8,2017,baseline,EN_Otter_<10m,OTH,1,426.61262,426.61262,OTH
9,2017,baseline,EN_Otter_10<24m,OTH,1,2370.029856,2370.029856,OTH
10,2017,baseline,EN_Otter_24<40m,OTB_DEF_27.7.j,0.484364995,1658.127296,803.13882,OTB_DEF_27
11,2017,baseline,EN_Otter_24<40m,OTH,0.515635005,1658.127296,854.9884765,OTH
12,2017,baseline,EN_Static_all,OTH,1,2441.516202,2441.516202,OTH
13,2017,baseline,FR_Other_all,OTH,1,11672.615,11672.615,OTH
14,2017,baseline,FR_Otter_10<24m,OTB_DEF_27.7.e,0.239316749,14143.448,3384.764,OTB_DEF_27
15,2017,baseline,FR_Otter_10<24m,OTB_DEF_27.7.h,0.084970794,14143.448,1201.78,OTB_DEF_27
16,2017,baseline,FR_Otter_10<24m,OTH,0.675712457,14143.448,9556.904,OTH
17,2017,baseline,FR_Otter_24<40m,OTB_DEF_27.7.e,0.175921897,15417.12,2712.209,OTB_DEF_27
18,2017,baseline,FR_Otter_24<40m,OTB_DEF_27.7.g,0.049938315,15417.12,769.905,OTB_DEF_27
19,2017,baseline,FR_Otter_24<40m,OTB_DEF_27.7.h,0.17686027,15417.12,2726.676,OTB_DEF_27
20,2017,baseline,FR_Otter_24<40m,OTB_DEF_27.7.j,0.206043995,15417.12,3176.605,OTB_DEF_27
21,2017,baseline,FR_Otter_24<40m,OTH,0.391235523,15417.12,6031.725,OTH
22,2017,baseline,FR_Otter_all,OTH,0.85674909,4327.435,3707.526,OTH
23,2017,baseline,FR_Otter_all,OTT_DEF_27.7.g,0.14325091,4327.435,619.909,OTT_DEF_27
24,2017,baseline,IE_Beam_10<24m,OTH,1,377.072,377.072,OTH
25,2017,baseline,IE_Beam_24<40m,OTH,0.006156554,1712.159,10.541,OTH
26,2017,baseline,IE_Beam_24<40m,TBB_DEF_27.7.g,0.993843446,1712.159,1701.618,TBB_DEF_27
27,2017,baseline,IE_Otter_10<24m,OTB_DEF_27.7.g,0.321756329,11936.076,3840.508,OTB_DEF_27
28,2017,baseline,IE_Otter_10<24m,OTB_DEF_27.7.j,0.170615033,11936.076,2036.474,OTB_DEF_27
29,2017,baseline,IE_Otter_10<24m,OTH,0.460695961,11936.076,5498.902,OTH
30,2017,baseline,IE_Otter_10<24m,SSC_DEF_27.7.g,0.046932677,11936.076,560.192,SSC_DEF_27
31,2017,baseline,IE_Otter_24<40m,OTB_DEF_27.7.b,0.056079913,8992.061,504.274,OTB_DEF_27
32,2017,baseline,IE_Otter_24<40m,OTB_DEF_27.7.g,0.181866871,8992.061,1635.358,OTB_DEF_27
33,2017,baseline,IE_Otter_24<40m,OTH,0.762053216,8992.061,6852.429,OTH
35,2017,baseline,SP_Static_24<40m,OTH,1,354.49814,354.49814,OTH
36,2017,baseline,SP_Static_all,LLS_DEF_27.7.c,0.102849071,2686.725953,276.3272684,LLS_DEF_27
37,2017,baseline,SP_Static_all,LLS_DEF_27.7.j,0.710490245,2686.725953,1908.892582,LLS_DEF_27
38,2017,baseline,SP_Static_all,OTH,0.186660684,2686.725953,501.506103,OTH
39,2019,max,BE_Beam_10<24m,OTH,1,231.6097079,231.6097079,OTH
40,2019,max,BE_Beam_24<40m,OTH,0.68118469,10502.16209,7153.912025,OTH
41,2019,max,BE_Beam_24<40m,TBB_DEF_27.7.g,0.31881531,10502.16209,3348.250064,TBB_DEF_27
42,2019,max,BE_Otter_24<40m,OTH,1,652.7509221,652.7509221,OTH
43,2019,max,EN_Beam_10<24m,OTH,1,1037.24131,1037.24131,OTH
44,2019,max,EN_Beam_24<40m,OTH,1,3287.53843,3287.53843,OTH
