,year,stock,country,scenario,share
261,2019,N-MEG,BE,whg-cs,0.034230996
262,2019,N-MEG,EN,whg-cs,0.141822004
263,2019,N-MEG,FR,whg-cs,0.25086507
264,2019,N-MEG,IE,whg-cs,0.573073358
265,2019,N-MEG,OT,whg-cs,0
266,2019,N-MEG,SP,whg-cs,8.57E-06
267,2019,SOL-7E,BE,whg-cs,0.127995476
268,2019,SOL-7E,EN,whg-cs,0.677239177
269,2019,SOL-7E,FR,whg-cs,0.194293696
270,2019,SOL-7E,IE,whg-cs,0.000471651
271,2019,SOL-7E,OT,whg-cs,0
272,2019,SOL-7E,SP,whg-cs,0
273,2019,SOL-7FG,BE,whg-cs,0.675825805
274,2019,SOL-7FG,EN,whg-cs,0.149969254
275,2019,SOL-7FG,FR,whg-cs,0.075183065
276,2019,SOL-7FG,IE,whg-cs,0.099021877
277,2019,SOL-7FG,OT,whg-cs,0
278,2019,SOL-7FG,SP,whg-cs,0
279,2019,WHG-CS,BE,whg-cs,0.009605576
280,2019,WHG-CS,EN,whg-cs,0.049171293
281,2019,WHG-CS,FR,whg-cs,0.436812798
282,2019,WHG-CS,IE,whg-cs,0.504410332
283,2019,WHG-CS,OT,whg-cs,0
284,2019,WHG-CS,SP,whg-cs,0
285,2019,COD-CS,BE,sq_E,0.037838176
286,2019,COD-CS,EN,sq_E,0.079189718
287,2019,COD-CS,FR,sq_E,0.589639437
288,2019,COD-CS,IE,sq_E,0.255748771
289,2019,COD-CS,OT,sq_E,0.037583898
290,2019,COD-CS,SP,sq_E,0
291,2019,HAD-CS,BE,sq_E,0.0180369
292,2019,HAD-CS,EN,sq_E,0.140468825
293,2019,HAD-CS,FR,sq_E,0.541894025
294,2019,HAD-CS,IE,sq_E,0.218952149
295,2019,HAD-CS,OT,sq_E,0.080621971
296,2019,HAD-CS,SP,sq_E,2.61E-05
297,2019,MON-CS,BE,sq_E,0.075789785
298,2019,MON-CS,EN,sq_E,0.202348633
299,2019,MON-CS,FR,sq_E,0.488192991
300,2019,MON-CS,IE,sq_E,0.167217949
301,2019,MON-CS,OT,sq_E,0.066312635
302,2019,MON-CS,SP,sq_E,0.000138006
303,2019,N-HKE,BE,sq_E,0.005875295
304,2019,N-HKE,EN,sq_E,0.02024668
305,2019,N-HKE,FR,sq_E,0.062190178
306,2019,N-HKE,IE,sq_E,0.054892622
307,2019,N-HKE,OT,sq_E,0.735492773
308,2019,N-HKE,SP,sq_E,0.121302452
309,2019,N-MEG,BE,sq_E,0.043341887
310,2019,N-MEG,EN,sq_E,0.151640822
311,2019,N-MEG,FR,sq_E,0.267411731
312,2019,N-MEG,IE,sq_E,0.470806126
313,2019,N-MEG,OT,sq_E,0.066793886
314,2019,N-MEG,SP,sq_E,5.55E-06
315,2019,SOL-7E,BE,sq_E,0.110126346
316,2019,SOL-7E,EN,sq_E,0.724004308
317,2019,SOL-7E,FR,sq_E,0.14851643
318,2019,SOL-7E,IE,sq_E,0.000266903
319,2019,SOL-7E,OT,sq_E,0.017086013
320,2019,SOL-7E,SP,sq_E,0
321,2019,SOL-7FG,BE,sq_E,0.685040336
322,2019,SOL-7FG,EN,sq_E,0.186677656
323,2019,SOL-7FG,FR,sq_E,0.063084235
324,2019,SOL-7FG,IE,sq_E,0.064822523
325,2019,SOL-7FG,OT,sq_E,0.00037525
326,2019,SOL-7FG,SP,sq_E,0
327,2019,WHG-CS,BE,sq_E,0.011984007
328,2019,WHG-CS,EN,sq_E,0.053982934
329,2019,WHG-CS,FR,sq_E,0.477247647
330,2019,WHG-CS,IE,sq_E,0.414812612
331,2019,WHG-CS,OT,sq_E,0.041972801
332,2019,WHG-CS,SP,sq_E,0
333,2019,COD-CS,BE,val,0.044171121
334,2019,COD-CS,EN,val,0.084157955
335,2019,COD-CS,FR,val,0.57880224
336,2019,COD-CS,IE,val,0.245940976
337,2019,COD-CS,OT,val,0.046927708
338,2019,COD-CS,SP,val,0
339,2019,HAD-CS,BE,val,0.021018438
340,2019,HAD-CS,EN,val,0.127958711
341,2019,HAD-CS,FR,val,0.540434239
342,2019,HAD-CS,IE,val,0.21012432
343,2019,HAD-CS,OT,val,0.100437317
344,2019,HAD-CS,SP,val,2.70E-05
345,2019,MON-CS,BE,val,0.081358966
346,2019,MON-CS,EN,val,0.209012234
347,2019,MON-CS,FR,val,0.483469859
348,2019,MON-CS,IE,val,0.150272785
349,2019,MON-CS,OT,val,0.075755504
350,2019,MON-CS,SP,val,0.000130652
351,2019,N-HKE,BE,val,0.00579606
352,2019,N-HKE,EN,val,0.018806493
353,2019,N-HKE,FR,val,0.054651441
354,2019,N-HKE,IE,val,0.044196555
355,2019,N-HKE,OT,val,0.771152956
356,2019,N-HKE,SP,val,0.105396496
357,2019,N-MEG,BE,val,0.048143035
358,2019,N-MEG,EN,val,0.16566606
359,2019,N-MEG,FR,val,0.274458036
360,2019,N-MEG,IE,val,0.43276045
361,2019,N-MEG,OT,val,0.078966985
362,2019,N-MEG,SP,val,5.44E-06
363,2019,SOL-7E,BE,val,0.115202109
364,2019,SOL-7E,EN,val,0.737362113
365,2019,SOL-7E,FR,val,0.128065403
366,2019,SOL-7E,IE,val,0.000228269
367,2019,SOL-7E,OT,val,0.019142106
368,2019,SOL-7E,SP,val,0
369,2019,SOL-7FG,BE,val,0.697715199
370,2019,SOL-7FG,EN,val,0.184268554
371,2019,SOL-7FG,FR,val,0.060172833
372,2019,SOL-7FG,IE,val,0.057435839
373,2019,SOL-7FG,OT,val,0.000407575
374,2019,SOL-7FG,SP,val,0
375,2019,WHG-CS,BE,val,0.014197049
376,2019,WHG-CS,EN,val,0.051367478
377,2019,WHG-CS,FR,val,0.48003459
378,2019,WHG-CS,IE,val,0.401216831
379,2019,WHG-CS,OT,val,0.053184051
380,2019,WHG-CS,SP,val,0
