fleet,metier,year,stock,L,D,V,metier2,Country,CatchKG
BE_Beam_24<40m,TBB_DEF_27.7.h,2017,HAD,4.058,5.463645286,7221.92,TBB_DEF,BE,9521.645286
BE_Beam_24<40m,TBB_DEF_27.7.h,2017,WHG,0.283,0.231427438,374.96,TBB_DEF,BE,514.427438
BE_Other_24<40m,MIS_MIS_27.7.e,2014,COD,0.052,0.003526545,116.92,MIS_MIS,BE,55.526545
BE_Other_24<40m,MIS_MIS_27.7.e,2014,HAD,0.008,0,10.92,MIS_MIS,BE,8
BE_Other_24<40m,MIS_MIS_27.7.e,2015,COD,0.008,0.000354,0,MIS_MIS,BE,8.354
BE_Other_24<40m,MIS_MIS_27.7.g,2014,HAD,0.007,0,11.12,MIS_MIS,BE,7
BE_Other_24<40m,MIS_MIS_27.7.g,2014,WHG,0.001,0,1.02,MIS_MIS,BE,1
BE_Other_24<40m,MIS_MIS_27.7.h,2014,HAD,0.001,0,1.13,MIS_MIS,BE,1
BE_Otter_10<24m,OTB_CRU_27.7.e,2012,COD,0.082,0,235.68,OTB_CRU,BE,82
BE_Otter_10<24m,OTB_CRU_27.7.e,2012,WHG,0.744,0,543.8,OTB_CRU,BE,744
BE_Otter_10<24m,OTB_CRU_27.7.f,2009,COD,0.407,0,809.92,OTB_CRU,BE,407
BE_Otter_10<24m,OTB_CRU_27.7.f,2009,HAD,0.848,0,1500.97,OTB_CRU,BE,848
BE_Otter_10<24m,OTB_CRU_27.7.f,2009,WHG,0.302,0,132.53,OTB_CRU,BE,302
BE_Otter_10<24m,OTB_CRU_27.7.f,2010,COD,0.008,0,23.1,OTB_CRU,BE,8
BE_Otter_10<24m,OTB_CRU_27.7.f,2010,HAD,0.016,0,24.09,OTB_CRU,BE,16
BE_Otter_10<24m,OTB_CRU_27.7.f,2010,WHG,0.038,0,59.36,OTB_CRU,BE,38
BE_Otter_10<24m,OTB_CRU_27.7.f,2011,COD,0.009,0,27.89,OTB_CRU,BE,9
BE_Otter_10<24m,OTB_CRU_27.7.f,2011,WHG,0.001,0,0.39,OTB_CRU,BE,1
BE_Otter_10<24m,OTB_CRU_27.7.f,2012,COD,0.031,0,88.39,OTB_CRU,BE,31
BE_Otter_10<24m,OTB_CRU_27.7.f,2012,WHG,0.16,0,116.52,OTB_CRU,BE,160
BE_Otter_10<24m,OTB_CRU_27.7.f,2013,COD,1.168,0,2477.11,OTB_CRU,BE,1168
BE_Otter_10<24m,OTB_CRU_27.7.f,2013,HAD,0.859,0,669.05,OTB_CRU,BE,859
BE_Otter_10<24m,OTB_CRU_27.7.f,2013,WHG,0.435,0,428.56,OTB_CRU,BE,435
BE_Otter_10<24m,OTB_CRU_27.7.f,2014,COD,1.265,0.451508037,1894.3,OTB_CRU,BE,1716.508037
BE_Otter_10<24m,OTB_CRU_27.7.f,2014,HAD,1.529,0,613.51,OTB_CRU,BE,1529
BE_Otter_10<24m,OTB_CRU_27.7.f,2014,WHG,1.16,0.334732962,796.66,OTB_CRU,BE,1494.732962
BE_Otter_10<24m,OTB_CRU_27.7.g,2009,COD,0.622,0,1393.15,OTB_CRU,BE,622
BE_Otter_10<24m,OTB_CRU_27.7.g,2009,HAD,3.868,0,3895.23,OTB_CRU,BE,3868
BE_Otter_10<24m,OTB_CRU_27.7.g,2009,WHG,3.94,0,1844.43,OTB_CRU,BE,3940
BE_Otter_10<24m,OTB_CRU_27.7.g,2010,COD,0.057,0,142.71,OTB_CRU,BE,57
BE_Otter_10<24m,OTB_CRU_27.7.g,2010,HAD,0.388,0,440.61,OTB_CRU,BE,388
BE_Otter_10<24m,OTB_CRU_27.7.g,2010,WHG,0.764,0,553.64,OTB_CRU,BE,764
BE_Otter_10<24m,OTB_CRU_27.7.g,2011,COD,0.197,0,483.13,OTB_CRU,BE,197
BE_Otter_10<24m,OTB_CRU_27.7.g,2011,HAD,3.294,0,2610.17,OTB_CRU,BE,3294
BE_Otter_10<24m,OTB_CRU_27.7.g,2011,WHG,0.929,0,810.27,OTB_CRU,BE,929
BE_Otter_10<24m,OTB_CRU_27.7.g,2013,COD,5.818,0,11612,OTB_CRU,BE,5818
BE_Otter_10<24m,OTB_CRU_27.7.g,2013,HAD,5.136,0,4940.91,OTB_CRU,BE,5136
BE_Otter_10<24m,OTB_CRU_27.7.g,2013,WHG,2.26,0,2589.14,OTB_CRU,BE,2260
BE_Otter_10<24m,OTB_CRU_27.7.g,2014,COD,2.246,0.876749212,3655.87,OTB_CRU,BE,3122.749212
BE_Otter_10<24m,OTB_CRU_27.7.g,2014,HAD,0.304,0,591.22,OTB_CRU,BE,304
BE_Otter_10<24m,OTB_CRU_27.7.g,2014,WHG,0.035,0.010099701,25.47,OTB_CRU,BE,45.099701
BE_Otter_10<24m,OTB_DEF_27.7.g,2013,COD,1.279,0,2614.59,OTB_DEF,BE,1279
BE_Otter_10<24m,OTB_DEF_27.7.g,2013,HAD,0.183,0,320.86,OTB_DEF,BE,183
BE_Otter_10<24m,OTB_DEF_27.7.g,2013,WHG,0.135,0,97.06,OTB_DEF,BE,135
BE_Otter_10<24m,SSC_DEF_27.7.e,2012,COD,0.01,0,13.28,SSC_DEF,BE,10
BE_Otter_10<24m,SSC_DEF_27.7.e,2012,WHG,0.014,0,18.48,SSC_DEF,BE,14
BE_Otter_24<40m,OTB_CRU_27.7.e,2010,WHG,1.122,0,1065.46,OTB_CRU,BE,1122
BE_Otter_24<40m,OTB_CRU_27.7.e,2011,WHG,2.778,0,2242.9,OTB_CRU,BE,2778
BE_Otter_24<40m,OTB_CRU_27.7.e,2012,COD,0.26,0,799.82,OTB_CRU,BE,260
BE_Otter_24<40m,OTB_CRU_27.7.e,2012,WHG,10.71,0,12424.02,OTB_CRU,BE,10710
BE_Otter_24<40m,OTB_CRU_27.7.e,2013,COD,0.086,0,187.4,OTB_CRU,BE,86
